id,Region_Code,Region,Area_Code,Area,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void,Pct_Remain,Pct_Leave,Pct_Rejected
1,N92000002,Northern Ireland,N06000001,Belfast East,64840,,42665,65.8,,,20728,21918,19,0,10,0,9,48.1,51.9,
2,N92000002,Northern Ireland,N06000002,Belfast North,69562,,39998,57.5,,,20128,19844,26,0,14,0,12,50.4,49.6,
3,N92000002,Northern Ireland,N06000003,Belfast South,65951,,44583,67.6,,,30960,13596,27,0,7,0,20,69.5,30.5,
4,N92000002,Northern Ireland,N06000004,Belfast West,63822,,31209,48.9,,,23099,8092,18,0,6,0,12,74.1,25.9,
5,N92000002,Northern Ireland,N06000005,East Antrim,63748,,41564,65.2,,,18616,22929,19,0,8,0,11,44.8,55.2,
6,N92000002,Northern Ireland,N06000006,East Londonderry,67945,,40563,59.7,,,21098,19455,10,0,2,0,8,52,48,
7,N92000002,Northern Ireland,N06000007,Fermanagh and South Tyrone,71072,,48187,67.8,,,28200,19958,29,7,15,0,7,58.6,41.4,
8,N92000002,Northern Ireland,N06000008,Foyle,71406,,40987,57.4,,,32064,8905,18,0,7,0,11,78.3,21.7,
9,N92000002,Northern Ireland,N06000009,Lagan Valley,72710,,48425,66.6,,,22710,25704,11,0,3,0,8,46.9,53.1,
10,N92000002,Northern Ireland,N06000010,Mid Ulster,68881,,42431,61.6,,,25612,16799,20,0,5,0,15,60.4,39.6,
11,N92000002,Northern Ireland,N06000011,Newry and Armagh,79255,,50644,63.9,,,31963,18659,22,0,9,0,13,62.9,36.9,
12,N92000002,Northern Ireland,N06000012,North Antrim,76641,,49740,64.9,,,18782,30938,20,3,6,0,11,37.8,62.2,
13,N92000002,Northern Ireland,N06000013,North Down,65304,,44211,67.7,,,23131,21046,34,0,8,1,25,52.4,47.6,
14,N92000002,Northern Ireland,N06000014,South Antrim,69038,,43563,63.1,,,21498,22055,10,0,6,0,4,49.4,50.6,
15,N92000002,Northern Ireland,N06000015,South Down,76727,,47724,62.2,,,32076,15625,23,0,9,0,14,67.2,32.8,
16,N92000002,Northern Ireland,N06000016,Strangford,65307,,42123,64.5,,,18727,23383,13,0,6,0,7,44.5,55.5,
17,N92000002,Northern Ireland,N06000017,Upper Bann,81517,,51845,63.6,,,24550,27262,33,0,21,0,12,47.4,52.6,
18,N92000002,Northern Ireland,N06000018,West Tyrone,64824,,40061,61.8,,,26765,13274,22,8,6,0,8,66.8,33.2,
